ID,Date/Collection,BRD,Ave.temp,Age,PenCode,observed_otus,pielou_e,chao1,faith_pd
Dairy42,10/28/20,BRD,41.11,0.53,1,485,0.476339439,501.4181818,35.29944345
Dairy43,11/18/20,Healthy,40.08,0.585,1,1126,0.674436428,1155.021739,59.59594706
Dairy44,11/4/20,Healthy,60.5,0.55,3,1060,0.680717676,1091.330189,53.42014112
Dairy45,10/28/20,Healthy,41.11,0.53,3,777,0.602438512,784.880597,52.24840069
Dairy46,11/4/20,BRD,60.5,0.55,3,925,0.696496661,956.1538462,50.85307164
Dairy47,10/28/20,Healthy,41.11,0.45,0,1291,0.785234355,1345.179104,72.50816406
Dairy48,10/28/20,BRD,41.11,0.45,0,1090,0.702772917,1150.552632,58.50501955
Dairy49,10/28/20,BRD,41.11,0.45,0,1106,0.753618825,1145.285714,61.96969286
Dairy50,11/4/20,BRD,60.5,0.47,0,1196,0.704293123,1263.047244,64.50162493
Dairy51,11/4/20,Healthy,60.5,0.47,0,1496,0.592224744,1581.202703,78.38546211
Dairy52,11/4/20,Healthy,60.5,0.47,0,2108,0.834042639,2215.377593,94.91159905
Dairy53,11/4/20,BRD,60.5,0.47,0,497,0.573532487,498.7368421,41.81527151
Dairy54,12/2/20,BRD,33.04,0.54,1,603,0.583798268,612.3733333,44.71958499
Dairy55,12/2/20,Healthy,33.04,0.54,1,1105,0.638443102,1145,56.66190834
Dairy56,12/2/20,Healthy,33.04,0.54,1,1680,0.773988651,1864.411765,80.61515961
Dairy57,10/28/20,Healthy,41.11,0.525,3,666,0.643186043,688.359375,42.7498957
Dairy58,11/18/20,BRD,40.08,0.58,1,496,0.400038163,508.9589041,40.87383012
Dairy59,11/18/20,Healthy,40.08,0.58,3,1208,0.741004233,1262.007692,65.1487689
Dairy60,11/11/20,BRD,40,0.56,4,740,0.759295589,758.3191489,44.32570588
Dairy61,11/11/20,Healthy,40,0.56,2,405,0.496386747,407.6896552,34.07921356
Dairy62,7/21/20,Healthy,74,1.45,0,834,0.628996506,851.4,54.95997408
Dairy63,7/21/20,Healthy,74,1.45,0,1153,0.649596758,1208.08209,63.97706315
Dairy64,8/12/20,Healthy,43.71,0.7,5,780,0.568475674,805.9677419,51.17133993
Dairy65,8/12/20,BRD,43.71,0.7,5,1028,0.647200344,1077.167939,60.29314393
Dairy66,8/26/20,Healthy,80.29,0.74,2,994,0.772141523,1009.54878,55.29156269
Dairy67,8/26/20,BRD,80.29,0.74,6,1097,0.771498478,1122.060241,60.06957671
Dairy68,7/14/20,BRD,72.71,0.62,3,1196,0.634712233,1285.848101,65.44559852
Dairy72,8/26/20,BRD,80.29,0.61,3,980,0.609204455,1048.8,56.51891924
Dairy74,9/10/20,BRD,62.08,0.65,4,1168,0.806820989,1213.833333,62.41464607
Dairy75,8/26/20,Healthy,80.29,0.61,1,1121,0.813798142,1138.822917,64.83320336
Dairy76,7/14/20,Healthy,72.71,0.62,3,1359,0.784543388,1411.253165,62.2003541
Dairy77,8/26/20,BRD,80.29,0.61,2,874,0.697594846,891.8875,53.54958842
Dairy78,8/26/20,BRD,80.29,0.61,3,716,0.751749718,716.2068966,46.53086866
Dairy79,9/10/20,BRD,62.08,0.65,4,1254,0.776295569,1364.468085,65.89091125
Dairy80,9/10/20,Healthy,62.08,0.65,4,872,0.628750432,904.5588235,54.4054389
Dairy81,9/30/20,Healthy,54.88,0.71,6,1185,0.788328744,1241.009174,66.31037345
Dairy82,8/26/20,Healthy,80.29,0.61,1,1376,0.796694066,1398.889831,68.0159963
Dairy83,7/14/20,Healthy,72.71,0.62,3,1370,0.79111777,1441.565789,66.82812068
Dairy84,8/26/20,Healthy,80.29,0.61,3,753,0.664630222,760.122807,48.81834564
Dairy85,8/26/20,BRD,80.29,0.61,1,884,0.636673565,896.6133333,54.00928731
Dairy86,8/26/20,Healthy,80.29,0.61,2,634,0.654800891,634,46.46026609
Dairy88,7/21/20,BRD,74,0.45,0,1075,0.772912733,1102.446281,63.71991924
Dairy90,9/30/20,Healthy,54.88,0.645,3,913,0.815337649,914.1458333,53.63588598
Dairy92,10/14/20,BRD,57.63,0.68,6,1205,0.59362678,1290.298013,65.30702285
Dairy93,10/14/20,BRD,57.63,0.68,6,1060,0.551663798,1160.488,65.08577655
Dairy94,8/19/20,BRD,66.25,0.72,5,819,0.502085626,838.6226415,54.24138534
Dairy95,9/10/20,BRD,62.08,0.72,3,482,0.612756531,486.2222222,40.08312924
Dairy96,9/10/20,Healthy,62.08,0.72,3,1087,0.780632721,1119.409524,65.10349857
Dairy97,9/10/20,Healthy,62.08,0.72,3,710,0.563917315,727.9375,45.20677413
Dairy98,9/10/20,BRD,62.08,0.72,3,346,0.500191121,358.1206897,31.54508715
Dairy99,10/14/20,Healthy,57.63,0.68,6,932,0.495871639,1014.384615,50.85919659
Dairy100,9/10/20,BRD,62.08,0.78,8,752,0.755219295,752,48.62502498
Dairy101,9/30/20,BRD,54.88,0.645,3,907,0.476945854,1012.80916,57.33234515
Dairy102,10/14/20,Healthy,57.63,0.68,5,948,0.633365363,968.3921569,58.49721249
Dairy103,10/14/20,BRD,57.63,0.68,5,536,0.422138309,583.5,40.65669851
Dairy104,9/30/20,Healthy,54.88,0.645,2,938,0.568366544,975.7878788,53.92934194
Dairy106,9/30/20,BRD,54.88,0.645,2,828,0.527168102,887.3478261,54.2848858
Dairy107,9/30/20,BRD,54.88,0.645,2,995,0.56418573,1055.329787,54.88949009
Dairy108,10/14/20,Healthy,57.63,0.68,5,172,0.325867549,176.6153846,21.7384847
Dairy109,11/11/20,Healthy,40,0.76,4,961,0.734827024,971.5405405,54.87363696
Dairy110,12/2/20,BRD,33.04,0.71,8,789,0.592192314,835.0789474,49.61173958
Dairy111,8/19/20,BRD,66.25,0.72,6,1183,0.707746457,1236.777778,68.56907697
Dairy112,11/11/20,Healthy,40,0.65,6,936,0.483033301,1115.286585,53.13255195
Dairy113,11/18/20,BRD,40.08,0.67,5,505,0.488492637,541,38.98017109
Dairy114,11/11/20,BRD,40,0.65,6,716,0.622519432,761.5113636,48.66291033
Dairy115,8/12/20,Healthy,43.71,0.7,6,679,0.651719685,684.6756757,47.43609949
Dairy116,12/2/20,BRD,33.04,0.71,9,607,0.571006636,639.1369863,40.89569699
Dairy117,11/11/20,Healthy,40,0.65,4,623,0.485043047,648.3658537,43.55993952
Dairy118,12/2/20,Healthy,33.04,0.71,8,900,0.736454251,919.1388889,52.15690043
Dairy119,11/18/20,Healthy,40.08,0.67,5,871,0.623392804,912.0392157,54.91250403
Dairy120,8/12/20,Healthy,43.71,0.7,6,1088,0.724725293,1141.56,65.43800515
Dairy121,11/4/20,Healthy,60.5,0.63,5,1057,0.661246924,1096.608333,61.48528155
Dairy122,12/2/20,Healthy,33.04,0.71,9,375,0.39110029,378.3333333,33.26288293
Dairy123,11/18/20,BRD,40.08,0.67,5,957,0.69464966,981.1860465,58.13902218
Dairy124,11/11/20,Healthy,40,0.65,6,777,0.657237419,801.5833333,46.76000908
Dairy125,12/2/20,BRD,33.04,0.71,8,764,0.586756343,776.3789474,52.46256362
Dairy126,12/2/20,Healthy,33.04,0.71,9,486,0.407246507,564.2828283,34.4458998
Dairy127,11/4/20,BRD,60.5,0.63,5,903,0.492293786,962.5263158,52.39754155
Dairy128,12/2/20,Healthy,33.04,0.71,8,572,0.51574151,587.9230769,39.34995107
Dairy129,11/11/20,BRD,40,0.65,6,902,0.661385728,932.6428571,53.58798995
Dairy130,12/2/20,BRD,33.04,0.33,10,689,0.70375289,689.6617647,48.82072266
Dairy131,8/12/20,BRD,43.71,1.15,10,961,0.626253243,1003.715596,53.65853987
Dairy132,8/12/20,BRD,43.71,1,10,1265,0.788104014,1324.07874,73.55061084
Dairy133,7/21/20,BRD,74,0.82,11,925,0.694415192,962.012987,49.96313104
